Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender ,persname type ,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
Damascena,unkn0130-48,Damascena,NOUN,w-damascena,,,,,,,,,,,,y,unitname,,,,,y,Damascus,https://pleiades.stoa.org/places/678106,,,,,,,,,,,,,,
de,"caes0037-6, tsha0001-9",de,ADP,w-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decreto,"caes0003-13, caes0010-12, caes0011-11, caes0122-10, jeru0497-13",decretum,NOUN,w-decreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decurione,"caes0003-14, caes0010-13, caes0010-22, caes0122-11, jeru0497-14",decurio,NOUN,w-decurione,,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
decurionum,"caes0003-14, caes0010-13, caes0010-22, caes0122-11, jeru0497-14",decurio,NOUN,w-decurionum,,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
decurionum.,caes0011-12,decurionum,NOUN,w-decurionum.,,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
dedit,"achz0001-3, ashk0003a-3, caes0122-1, cape0001-3, jeru0554-3, tsha0002-3, unkn0130-3, unkn0130-92",do,VERB,w-dedit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dedit.,caes0037-9,deditus,NOUN,w-dedit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deiotariana.,caes0046-4,Deiotariana.,NUM,w-deiotariana.,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
deum,megi0002-18,deus,PROPN,w-deum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
devotissimus,"bshe0006-25, caes0006-14, caes0014-21, caes0017-21, caes0019-3, caes0029-1",deuotus,ADJ,w-devotissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offer,,,
devotus,"bshe0006-25, caes0006-14, caes0014-21, caes0017-21, caes0019-3, caes0029-1",deuotus,ADJ,w-devotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offer,,,
dicatissimus.,caes0009-25,dicatissimus,NOUN,w-dicatissimus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim,"achz0001-3, ashk0003a-3, caes0122-1, cape0001-3, jeru0554-3, tsha0002-3, unkn0130-3, unkn0130-92",do,VERB,w-dim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimissis,unkn0130-80,dimitto,VERB,w-dimissis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diocletiano,"ashk0003b-6, caes0006-5",Diocletianum,PROPN,w-diocletiano,,,,y,m,other,Diocletian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diocletianus,yotv0001-3,diocletianus,PROPN,w-diocletianus,,,,y,m,other,Diocletian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis,"caes0146-1, caes0160-1, nabl0001-1, nabl0002-1",Dis,PROPN,w-dis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
divi,"ashk0003a-8, cape0001-7, jeru0554-7, tsha0002-7",diuus,ADJ,w-divi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
divi,"achz0001-3, ashk0003a-3, caes0122-1, cape0001-3, jeru0554-3, tsha0002-3, unkn0130-3, unkn0130-92",do,VERB,w-divi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
Domine,"bshe0006-3, caes0009-6, jeru0306-1, maay0001-13, megi0002-10",dominus,NOUN,w-domine,,y,lord,,,,,,y,honorific,lord,,,,,y,lord,,,,,,,,,,,,,,,,,
domini,"bshe0006-3, caes0009-6, jeru0306-1, maay0001-13, megi0002-10",dominus,NOUN,w-domini,,y,lord,,,,,,y,honorific,lord,,,,,y,lord,,,,,,,,,,,,,,,,,
Domino,"bshe0006-3, caes0009-6, jeru0306-1, maay0001-13, megi0002-10",dominus,NOUN,w-domino,,y,lord,,,,,,y,honorific,lord,,,,,y,lord,,,,,,,,,,,,,,,,,
domino,"bshe0006-3, caes0009-6, jeru0306-1, maay0001-13, megi0002-10",dominus,NOUN,w-domino,,y,lord,,,,,,y,honorific,lord,,,,,y,lord,,,,,,,,,,,,,,,,,
Domitianus,"achz0001-6, unkn0130-6",domitianus,PROPN,w-domitianus,,,,y,m,other,Domitianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
dono,caes0037-8,donum,NOUN,w-dono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duabus,unkn0130-30,duo,NUM,w-duabus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duumviralem,caes0003-5,duumviralis,ADJ,w-duumviralem,,,,,,,,,y,government,duovir,,,,,,,,,,,,,,,,,,,,,,,
e,"masa0941-24, masa0941-25, masa0941-28",e,X,w-e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egregio,caes0011-4,egregius,ADJ,w-egregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eius,"bshe0006-23, caes0009-24, caes0019-7, caes0029-4, caes0031-15, caes0044-10, caes0146-18, maay0001-32, unkn0130-22",is,DET,w-eius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eius.,"caes0006-17, caes0007-10, caes0014-24",eius,NOUN,w-eius.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eorum.,caes0017-24,eorum,NOUN,w-eorum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eques,"caes0010-19, nabl0002-4, tsha0001-8, unkn0130-25",eques,NOUN,w-eques,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
equite,"caes0010-19, nabl0002-4, tsha0001-8, unkn0130-25",eques,NOUN,w-equite,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
equites,"caes0010-19, nabl0002-4, tsha0001-8, unkn0130-25",eques,NOUN,w-equites,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
equitum,"caes0010-19, nabl0002-4, tsha0001-8, unkn0130-25",eques,NOUN,w-equitum,,,,,,,,,y,government,equestrian,,,,,,,,,,,,,,,,,,,,,,,
est.,emma0001-20,est,NOUN,w-est.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et,"ashk0003a-22, ashk0003b-7, caes0010-7, caes0010-21, caes0014-2, caes0017-2, caes0018-19, caes0106-11, caes0146-19, caes0146-21, caes0146-23, caes0146-26, caes0148-11, caes0354-3, kara0001-11, maay0001-7, megi0002-8, unkn0130-26, unkn0130-31, unkn0130-39, unkn0130-42, unkn0130-46, unkn0130-50, unkn0130-54, unkn0130-56, unkn0130-59, unkn0130-62, unkn0130-66, unkn0130-76, unkn0130-93, unkn0131-26, yotv0001-5, yotv0001-8, yotv0001-10",et,CCONJ,w-et,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eudemi,masa0950-3,eudemus,PROPN,w-eudemi,,,,y,m,other,Eudemus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eudemi,masa0949-3,Eudemus,PROPN,w-eudemi,,,,y,m,other,Eudemus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex,"caes0003-12, caes0010-11, caes0011-10, caes0044-6, caes0122-9",ex,ADP,w-ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extinctori,maay0001-12,extinctor,NOUN,w-extinctori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,masa0941-26,f,X,w-f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facere,"caes0044-12, caes0051-6, caes0052-6, caes0122-8",facio,VERB,w-facere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecerunt.,caes0146-31,fecerunt,NOUN,w-fecerunt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecit,"caes0044-12, caes0051-6, caes0052-6, caes0122-8",facio,VERB,w-fecit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecit.,"caes0163-3, emma0001-22",fecit,NOUN,w-fecit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felici,kara0001-8,Felicus,PROPN,w-felici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felici,"ashk0003a-16, ashk0003b-13, bshe0006-11, caes0006-7, caes0009-13, caes0014-10, caes0017-10, caes0106-8, caes0107-12, caes0683-5, unkn0131-7",felix,PROPN,w-felici,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felici,"ashk0003a-16, ashk0003b-13, bshe0006-11, caes0006-7, caes0009-13, caes0014-10, caes0017-10, caes0106-8, caes0107-12, caes0683-5, unkn0131-7",felix,ADJ,w-felici,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicia,"ashk0003a-16, ashk0003b-13, bshe0006-11, caes0006-7, caes0009-13, caes0014-10, caes0017-10, caes0106-8, caes0107-12, caes0683-5, unkn0131-7",felix,ADJ,w-felicia,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicibus,"ashk0003a-16, ashk0003b-13, bshe0006-11, caes0006-7, caes0009-13, caes0014-10, caes0017-10, caes0106-8, caes0107-12, caes0683-5, unkn0131-7",felix,ADJ,w-felicibus,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felicissimo,caes0009-1,felicissimus,PROPN,w-felicissimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feliciter.,bshe0006-26,feliciter,NOUN,w-feliciter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix,"ashk0003a-16, ashk0003b-13, bshe0006-11, caes0006-7, caes0009-13, caes0014-10, caes0017-10, caes0106-8, caes0107-12, caes0683-5, unkn0131-7",felix,ADJ,w-felix,,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermilianus,bshe0006-16,Fermilianus,PROPN,w-fermilianus,,,,y,m,other,Fermilianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrata,"caes0146-8, gado0001-4, megi0002-23",Ferrata,PROPN,w-ferrata,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Ferratae,"caes0146-8, gado0001-4, megi0002-23",Ferrata,PROPN,w-ferratae,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Ferratae.,"caes0049-9, caes0054-10",Ferratae,NOUN,w-ferratae.,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
fidelis,caes0146-9,fidelis,ADJ,w-fidelis,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Fili,"achz0001-5, ashk0003a-7, bani0003-9, caes0106-18, caes0107-6, caes0148-14, cape0001-6, emma0001-3, jeru0494-10, jeru0554-6, kara0001-18, nabl0001-6, tsha0002-6, unkn0130-5",filius,NOUN,w-fili,,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
filia,caes0032-9,filia,NOUN,w-filia,,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
filio,"achz0001-5, ashk0003a-7, bani0003-9, caes0106-18, caes0107-6, caes0148-14, cape0001-6, emma0001-3, jeru0494-10, jeru0554-6, kara0001-18, nabl0001-6, tsha0002-6, unkn0130-5",filius,NOUN,w-filio,,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
filius,"achz0001-5, ashk0003a-7, bani0003-9, caes0106-18, caes0107-6, caes0148-14, cape0001-6, emma0001-3, jeru0494-10, jeru0554-6, kara0001-18, nabl0001-6, tsha0002-6, unkn0130-5",filius,NOUN,w-filius,,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
Filius,"achz0001-5, ashk0003a-7, bani0003-9, caes0106-18, caes0107-6, caes0148-14, cape0001-6, emma0001-3, jeru0494-10, jeru0554-6, kara0001-18, nabl0001-6, tsha0002-6, unkn0130-5",filius,NOUN,w-filius,,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
filius.,"achz0001-5, ashk0003a-7, bani0003-9, caes0106-18, caes0107-6, caes0148-14, cape0001-6, emma0001-3, jeru0494-10, jeru0554-6, kara0001-18, nabl0001-6, tsha0002-6, unkn0130-5",filius,NOUN,w-filius.,,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
Flavia,caes0024-1,Flauia,PROPN,w-flavia,,,,y,f,other,Flavia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaviae,"caes0003-8, caes0044-3, nabl0001-13",Flavia,PROPN,w-flaviae,,,,y,f,other,Flavia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavianus,caes0031-8,flauianus,PROPN,w-flavianus,,,,y,m,other,Flavianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavii,"caes0002-2, caes0003-2, caes0010-17, caes0017-6, caes0018-11, caes0030-1, caes0146-3",flauius,PROPN,w-flavii,,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavio,"caes0002-2, caes0003-2, caes0010-17, caes0017-6, caes0018-11, caes0030-1, caes0146-3",flauius,PROPN,w-flavio,,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavium,"caes0002-2, caes0003-2, caes0010-17, caes0017-6, caes0018-11, caes0030-1, caes0146-3",flauius,PROPN,w-flavium,,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavius,"caes0002-2, caes0003-2, caes0010-17, caes0017-6, caes0018-11, caes0030-1, caes0146-3",flauius,PROPN,w-flavius,,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortis.,caes0047-10,fortis,NOUN,w-fortis.,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Fortissimo,bshe0006-1,Fortus,ADJ,w-fortissimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortissimo,"caes0014-1, caes0017-1",Fortis,ADJ,w-fortissimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francico,maay0001-20,Francico,PROPN,w-francico,,,,,,,,,,,,,,y,French,,,,,,,,,,,,,,,,,,,
fratri,"ashk0003b-3, nabl0001-22",frater,NOUN,w-fratri,,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
fratribus,"ashk0003b-3, nabl0001-22",frater,NOUN,w-fratribus,,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
Fretensis,"caes0018-15, caes0031-12, caes0045-8, caes0048-4, caes0050-3, caes0051-11, caes0052-11, caes0053-8, caes0146-16, caes0148-9, caes0349-3, caes0529-3, jeru0491-16, jeru0535-3, jeru0536-3, jeru0554-24, masa0937-3",Fretensis,ADJ,w-fretensis,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
fretensis,masa0853-3,fretensis,ADJ,w-fretensis,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Fretensis,"caes0018-15, caes0031-12, caes0045-8, caes0048-4, caes0050-3, caes0051-11, caes0052-11, caes0053-8, caes0146-16, caes0148-9, caes0349-3, caes0529-3, jeru0491-16, jeru0535-3, jeru0536-3, jeru0554-24, masa0937-3",Fretensis,PROPN,w-fretensis,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Fretensis.,"caes0018-15, caes0031-12, caes0045-8, caes0048-4, caes0050-3, caes0051-11, caes0052-11, caes0053-8, caes0146-16, caes0148-9, caes0349-3, caes0529-3, jeru0491-16, jeru0535-3, jeru0536-3, jeru0554-24, masa0937-3",Fretensis,NOUN,w-fretensis.,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
frumentariorum,caes0683-3,frumentarior,NOUN,w-frumentariorum,,,,,,,,,y,military,frumentarior,y,rank,,,,,,,,,,,,,,,,,,,,,
Fulminatae,caes0119-7,Fulminata,PROPN,w-fulminatae,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Furio,caes0007-2,furius,PROPN,w-furio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaetulorum,unkn0130-41,gaetuli,PROPN,w-gaetulorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaio,"ashk0003b-4, caes0006-3, caes0007-1, caes0018-1, caes0106-3, caes0106-12, kara0001-3, kara0001-12",gaius,PROPN,w-gaio,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galerio,"bshe0006-7, caes0014-6",galerius,PROPN,w-galerio,,,,y,m,other,Galerius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garum,masa0826-1,Gae,PROPN,w-garum,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
Gemonnea,bshe0156-1,Gemonneus,PROPN,w-gemonnea,,,,,,,,,,,,,,,,,,y,Gemona,https://pleiades.stoa.org/places/187394,,,,,,,,,,y,genius,,,
Genio,caes0683-2,genius,PROPN,w-genio,,y,genius,,,,,,,,,,,,,,,,,,,,,,,,,,,y,genius,,,
Geniu,jeru0495-5,Geniu,PROPN,w-geniu,,y,genius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genus,maay0001-29,genus,NOUN,w-genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germanicus,unkn0130-8,germanicus,PROPN,w-germanicus,,,,y,m,other,Germanicus,,,,,,,y,German,,,,,,,,,,,,,,,,,,,
Gordiano,caes0107-5,gordianus,PROPN,w-gordiano,,,,y,m,other,Gordian,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,masa0941-27,h,X,w-h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadriano,"caes0045-3, caes0047-4, caes0049-4, caes0053-3, jeru0497-5, jeru0554-11, tsha0002-11",hadrianus,PROPN,w-hadriano,,,,y,m,other,Hadrianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadrianus,"caes0051-4, caes0052-4, caes0054-4, cape0001-11",Hadrianus,PROPN,w-hadrianus,,,,y,m,other,Hadrianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
haeres,nabl0002-10,haereo,VERB,w-haeres,,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
heredes,"caes0044-11, caes0146-28",heres,NOUN,w-heredes,,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
Heres,emma0001-21,Ho,VERB,w-heres,,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
heres,"caes0044-11, caes0146-28",heres,NOUN,w-heres,,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
Herinnius,masa0829-2,Herinnius,PROPN,w-herinnius,,,,y,m,other,Herennius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hestia,haif0020a-3,Hestia,PROPN,w-hestia,,y,Hestia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hic,emma0001-18,hic,DET,w-hic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilarus,caes0146-20,Hilarus,PROPN,w-hilarus,,,,y,m,other,Hilarius,,,,,,,,,,,,,,,,,,,,,,,,,,,
honesta,unkn0130-81,honestus,ADJ,w-honesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honoris,"caes0002-5, caes0031-17",honor,NOUN,w-honoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iis,"bshe0006-23, caes0009-24, caes0019-7, caes0029-4, caes0031-15, caes0044-10, caes0146-18, maay0001-32, unkn0130-22",is,DET,w-iis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperator,"achz0001-1, achz0001-12, ashk0003a-1, ashk0003b-1, bshe0006-5, caes0006-1, caes0027-1, caes0027-12, caes0045-1, caes0047-1, caes0049-1, caes0051-1, caes0052-1, caes0053-1, caes0054-1, caes0106-1, caes0107-1, cape0001-1, jeru0491-1, jeru0491-5, jeru0494-1, jeru0494-5, jeru0495-3, jeru0497-1, jeru0554-1, kara0001-1, megi0002-12, tsha0002-1, tsha0002-18, unkn0130-1, unkn0130-14, unkn0131-1, unkn0131-18",imperator,NOUN,w-imperator,,,,,,,,,y,government,emperor,,,,,,,,,,,,,,,,,,,,,,,
imperator,"achz0001-1, achz0001-12, ashk0003a-1, ashk0003b-1, bshe0006-5, caes0006-1, caes0027-1, caes0027-12, caes0045-1, caes0047-1, caes0049-1, caes0051-1, caes0052-1, caes0053-1, caes0054-1, caes0106-1, caes0107-1, cape0001-1, jeru0491-1, jeru0491-5, jeru0494-1, jeru0494-5, jeru0495-3, jeru0497-1, jeru0554-1, kara0001-1, megi0002-12, tsha0002-1, tsha0002-18, unkn0130-1, unkn0130-14, unkn0131-1, unkn0131-18",imperator,NOUN,w-imperator,,,,,,,,,y,government,emperor,,,,,,,,,,,,,,,,,,,,,,,
Imperatore,"achz0001-1, achz0001-12, ashk0003a-1, ashk0003b-1, bshe0006-5, caes0006-1, caes0027-1, caes0027-12, caes0045-1, caes0047-1, caes0049-1, caes0051-1, caes0052-1, caes0053-1, caes0054-1, caes0106-1, caes0107-1, cape0001-1, jeru0491-1, jeru0491-5, jeru0494-1, jeru0494-5, jeru0495-3, jeru0497-1, jeru0554-1, kara0001-1, megi0002-12, tsha0002-1, tsha0002-18, unkn0130-1, unkn0130-14, unkn0131-1, unkn0131-18",imperator,NOUN,w-imperatore,,,,,,,,,y,government,emperor,,,,,,,,,,,,,,,,,,,,,,,
Imperatori,"achz0001-1, achz0001-12, ashk0003a-1, ashk0003b-1, bshe0006-5, caes0006-1, caes0027-1, caes0027-12, caes0045-1, caes0047-1, caes0049-1, caes0051-1, caes0052-1, caes0053-1, caes0054-1, caes0106-1, caes0107-1, cape0001-1, jeru0491-1, jeru0491-5, jeru0494-1, jeru0494-5, jeru0495-3, jeru0497-1, jeru0554-1, kara0001-1, megi0002-12, tsha0002-1, tsha0002-18, unkn0130-1, unkn0130-14, unkn0131-1, unkn0131-18",imperator,NOUN,w-imperatori,,,,,,,,,y,government,emperor,,,,,,,,,,,,,,,,,,,,,,,
imperatori,"achz0001-1, achz0001-12, ashk0003a-1, ashk0003b-1, bshe0006-5, caes0006-1, caes0027-1, caes0027-12, caes0045-1, caes0047-1, caes0049-1, caes0051-1, caes0052-1, caes0053-1, caes0054-1, caes0106-1, caes0107-1, cape0001-1, jeru0491-1, jeru0491-5, jeru0494-1, jeru0494-5, jeru0495-3, jeru0497-1, jeru0554-1, kara0001-1, megi0002-12, tsha0002-1, tsha0002-18, unkn0130-1, unkn0130-14, unkn0131-1, unkn0131-18",imperator,NOUN,w-imperatori,,,,,,,,,y,government,emperor,,,,,,,,,,,,,,,,,,,,,,,
Imperatoribus,"achz0001-1, achz0001-12, ashk0003a-1, ashk0003b-1, bshe0006-5, caes0006-1, caes0027-1, caes0027-12, caes0045-1, caes0047-1, caes0049-1, caes0051-1, caes0052-1, caes0053-1, caes0054-1, caes0106-1, caes0107-1, cape0001-1, jeru0491-1, jeru0491-5, jeru0494-1, jeru0494-5, jeru0495-3, jeru0497-1, jeru0554-1, kara0001-1, megi0002-12, tsha0002-1, tsha0002-18, unkn0130-1, unkn0130-14, unkn0131-1, unkn0131-18",imperator,NOUN,w-imperatoribus,,,,,,,,,y,government,emperor,,,,,,,,,,,,,,,,,,,,,,,
imperatoris,"achz0001-1, achz0001-12, ashk0003a-1, ashk0003b-1, bshe0006-5, caes0006-1, caes0027-1, caes0027-12, caes0045-1, caes0047-1, caes0049-1, caes0051-1, caes0052-1, caes0053-1, caes0054-1, caes0106-1, caes0107-1, cape0001-1, jeru0491-1, jeru0491-5, jeru0494-1, jeru0494-5, jeru0495-3, jeru0497-1, jeru0554-1, kara0001-1, megi0002-12, tsha0002-1, tsha0002-18, unkn0130-1, unkn0130-14, unkn0131-1, unkn0131-18",imperator,NOUN,w-imperatoris,,,,,,,,,y,government,emperor,,,,,,,,,,,,,,,,,,,,,,,
